timestamp,P_pv_kw,P_wwtp_kw,P_dc_kw,P_bess_chg_kw,P_bess_dis_kw,P_grid_kw,P_curtail_kw,SOC_kwh,balance_error_kw,dispatch_state,rate_period,electricity_price,hour_of_day
2023-02-10 02:00:00,0.0,2031.177464752449,2500.0,1000.0,231.17746475244894,4500.0,0.0,3889.983054636747,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,2
2023-02-10 03:00:00,0.0,2071.8566599474507,2500.0,933.6379864196706,205.49464636712128,4500.0,0.0,4589.171389794684,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,3
2023-02-10 04:00:00,0.0,2174.434011190877,2500.0,216.30102616735013,0.0,4090.7350373582267,0.0,4800.0,0.0,CHARGE,off_peak,0.07,4
2023-02-10 05:00:00,0.0,2302.530893839913,2500.0,0.0,0.0,4002.530893839913,0.0,4800.0,0.0,CHARGE,off_peak,0.07,5
2023-02-10 06:00:00,0.0,2560.481764605651,2500.0,0.0,0.0,4260.481764605651,0.0,4800.0,0.0,CHARGE,off_peak,0.07,6
2023-02-10 07:00:00,0.0,2721.794142294145,2500.0,0.0,0.0,4421.794142294145,0.0,4800.0,0.0,CHARGE,off_peak,0.07,7
2023-02-10 08:00:00,-0.0,2885.1884314980553,2500.0,0.0,85.18843149805525,4500.0,0.0,4712.600357547907,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,8
2023-02-10 09:00:00,1209.172887078527,2848.3361259954827,2500.0,0.0,0.0,3339.1632389169554,0.0,4712.600357547907,0.0,HOLD_SOLAR,partial_peak,0.12,9
2023-02-10 10:00:00,2615.370270226539,2763.21315783053,2500.0,0.0,0.0,1847.8428876039907,0.0,4712.600357547907,0.0,HOLD_SOLAR,partial_peak,0.12,10
2023-02-10 11:00:00,2812.150214194805,2676.7206532692335,2500.0,0.0,0.0,1564.5704390744286,0.0,4712.600357547907,0.0,HOLD_SOLAR,partial_peak,0.12,11
2023-02-10 12:00:00,2815.2559084300433,2622.7206631524805,2500.0,0.0,0.0,1507.4647547224372,0.0,4712.600357547907,0.0,WINTER_IDLE,partial_peak,0.12,12
2023-02-10 13:00:00,2953.076259188182,2624.560195373959,2500.0,0.0,0.0,1371.4839361857767,0.0,4712.600357547907,0.0,WINTER_IDLE,partial_peak,0.12,13
2023-02-10 14:00:00,3278.595939158564,2599.976981711785,2500.0,0.0,0.0,1021.381042553221,0.0,4712.600357547907,0.0,WINTER_IDLE,partial_peak,0.12,14
2023-02-10 15:00:00,3704.321309518622,2669.8720061117556,2500.0,0.0,0.0,665.5506965931336,0.0,4712.600357547907,0.0,WINTER_IDLE,partial_peak,0.12,15
2023-02-10 16:00:00,3188.344385916949,2822.1326632667315,2500.0,0.0,0.0,1333.7882773497827,0.0,4712.600357547907,0.0,WINTER_IDLE,partial_peak,0.12,16
2023-02-10 17:00:00,1284.0256335119063,2787.830495178189,2500.0,0.0,0.0,3203.804861666282,0.0,4712.600357547907,0.0,WINTER_IDLE,partial_peak,0.12,17
2023-02-10 18:00:00,0.0,2718.6138708188982,2500.0,0.0,1089.6033052862701,3329.010565532628,0.0,3594.714541105648,0.0,EVENING_DIS,partial_peak,0.12,18
2023-02-10 19:00:00,0.0,2719.970194462848,2500.0,0.0,1089.6033052862701,3330.3668891765783,0.0,2476.828724663389,0.0,EVENING_DIS,partial_peak,0.12,19
2023-02-10 20:00:00,0.0,2632.0739128632567,2500.0,0.0,1089.6033052862701,3242.4706075769864,0.0,1358.9429082211298,0.0,EVENING_DIS,partial_peak,0.12,20
2023-02-10 21:00:00,0.0,2475.0148254876767,2500.0,0.0,544.8016526431352,3630.213172844542,0.0,800.0,0.0,EVENING_DIS,partial_peak,0.12,21
2023-02-10 22:00:00,0.0,2492.5765170330797,2500.0,1000.0,0.0,5192.57651703308,0.0,1774.7,0.0,CHARGE,off_peak,0.07,22
2023-02-10 23:00:00,0.0,2483.490849634145,2500.0,1000.0,683.490849634145,4500.0,0.0,2048.1679802666004,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,23
2023-02-11 00:00:00,0.0,2247.47344297836,2500.0,1000.0,447.47344297836025,4500.0,0.0,2563.779601300395,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,0
2023-02-11 01:00:00,0.0,2163.49051603494,2500.0,1000.0,363.4905160349399,4500.0,0.0,3165.554069305997,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,1
2023-02-11 02:00:00,0.0,2016.2036779911912,2500.0,1000.0,216.2036779911914,4500.0,0.0,3918.4384563059034,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,2
2023-02-11 03:00:00,0.0,2090.594735721814,2500.0,904.4439762943434,195.03871201615766,4500.0,0.0,4599.898725745195,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,3
2023-02-11 04:00:00,0.0,2164.944195074054,2500.0,205.29524392613584,0.0,4070.23943900019,0.0,4800.0,0.0,CHARGE,off_peak,0.07,4
2023-02-11 05:00:00,0.0,2339.1508462902084,2500.0,0.0,0.0,4039.1508462902084,0.0,4800.0,0.0,CHARGE,off_peak,0.07,5
2023-02-11 06:00:00,0.0,2607.0575089062168,2500.0,0.0,0.0,4307.057508906217,0.0,4800.0,0.0,CHARGE,off_peak,0.07,6
2023-02-11 07:00:00,0.0,2812.323977854826,2500.0,0.0,12.323977854825898,4500.0,0.0,4787.356132292166,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,7
2023-02-11 08:00:00,2.1729419245401592e-43,2921.740863047411,2500.0,12.972060847269963,134.7129238946809,4500.0,0.0,4661.790372530337,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,8
2023-02-11 09:00:00,1276.6526345591858,2901.294851420144,2500.0,141.79709394650996,0.0,3466.4393108074682,0.0,4800.0,0.0,CHARGE,off_peak,0.07,9
2023-02-11 10:00:00,2590.6781888272667,2771.8260321857974,2500.0,0.0,0.0,1881.1478433585312,0.0,4800.0,0.0,CHARGE,off_peak,0.07,10
2023-02-11 11:00:00,2826.2662834495018,2696.689031609719,2500.0,0.0,0.0,1570.422748160218,0.0,4800.0,0.0,CHARGE,off_peak,0.07,11
2023-02-11 12:00:00,2839.8823150490302,2646.02490535188,2500.0,0.0,0.0,1506.1425903028498,0.0,4800.0,0.0,CHARGE,off_peak,0.07,12
2023-02-11 13:00:00,2974.5230119336497,2606.2793405714615,2500.0,0.0,0.0,1331.7563286378122,0.0,4800.0,0.0,CHARGE,off_peak,0.07,13
2023-02-11 14:00:00,3298.9034128106982,2646.77409726683,2500.0,0.0,0.0,1047.8706844561316,0.0,4800.0,0.0,CHARGE,off_peak,0.07,14
2023-02-11 15:00:00,3708.3885649717686,2746.1234542090187,2500.0,0.0,0.0,737.7348892372502,0.0,4800.0,0.0,CHARGE,off_peak,0.07,15
2023-02-11 16:00:00,3236.611141171326,2777.267456474679,2500.0,0.0,0.0,1240.6563153033535,0.0,4800.0,0.0,CHARGE,off_peak,0.07,16
2023-02-11 17:00:00,1328.8380544797244,2776.8677854342914,2500.0,0.0,0.0,3148.0297309545667,0.0,4800.0,0.0,CHARGE,off_peak,0.07,17
2023-02-11 18:00:00,0.0,2760.3996802620004,2500.0,0.0,0.0,4460.399680262,0.0,4800.0,0.0,CHARGE,off_peak,0.07,18
2023-02-11 19:00:00,0.0,2729.204138637121,2500.0,0.0,0.0,4429.204138637121,0.0,4800.0,0.0,CHARGE,off_peak,0.07,19
2023-02-11 20:00:00,0.0,2615.214846030084,2500.0,0.0,0.0,4315.214846030084,0.0,4800.0,0.0,CHARGE,off_peak,0.07,20
2023-02-11 21:00:00,0.0,2551.3432892629444,2500.0,0.0,0.0,4251.343289262944,0.0,4800.0,0.0,CHARGE,off_peak,0.07,21
2023-02-11 22:00:00,0.0,2511.647747687778,2500.0,0.0,0.0,4211.647747687778,0.0,4800.0,0.0,CHARGE,off_peak,0.07,22
2023-02-11 23:00:00,0.0,2440.496707654437,2500.0,0.0,0.0,4140.496707654437,0.0,4800.0,0.0,CHARGE,off_peak,0.07,23
2023-02-12 00:00:00,0.0,2264.0017471569836,2500.0,0.0,0.0,3964.0017471569836,0.0,4800.0,0.0,CHARGE,off_peak,0.07,0
2023-02-12 01:00:00,0.0,2154.5390526953383,2500.0,0.0,0.0,3854.539052695338,0.0,4800.0,0.0,CHARGE,off_peak,0.07,1
2023-02-12 02:00:00,0.0,2024.1003282460929,2500.0,0.0,0.0,3724.1003282460933,0.0,4800.0,0.0,CHARGE,off_peak,0.07,2
2023-02-12 03:00:00,0.0,2136.167941745952,2500.0,0.0,0.0,3836.167941745952,0.0,4800.0,0.0,CHARGE,off_peak,0.07,3
2023-02-12 04:00:00,0.0,2158.226134925597,2500.0,0.0,0.0,3858.226134925597,0.0,4800.0,0.0,CHARGE,off_peak,0.07,4
2023-02-12 05:00:00,0.0,2293.61901016926,2500.0,0.0,0.0,3993.61901016926,0.0,4800.0,0.0,CHARGE,off_peak,0.07,5
2023-02-12 06:00:00,0.0,2531.9747076550525,2500.0,0.0,0.0,4231.974707655052,0.0,4800.0,0.0,CHARGE,off_peak,0.07,6
2023-02-12 07:00:00,0.0,2714.005375255725,2500.0,0.0,0.0,4414.005375255725,0.0,4800.0,0.0,CHARGE,off_peak,0.07,7
2023-02-12 08:00:00,0.0,2853.829058364073,2500.0,0.0,53.82905836407281,4500.0,0.0,4744.773716667618,0.0,CHARGE+SPIKE_SHAVE,off_peak,0.07,8
2023-02-12 09:00:00,821.6298377773413,2839.5235124556475,2500.0,56.65977565649131,0.0,3774.553450334798,0.0,4800.0,0.0,CHARGE,off_peak,0.07,9
2023-02-12 10:00:00,1829.545798344129,2764.4558102296087,2500.0,0.0,0.0,2634.9100118854794,0.0,4800.0,0.0,CHARGE,off_peak,0.07,10
2023-02-12 11:00:00,2518.8420849526387,2709.002800420435,2500.0,0.0,0.0,1890.1607154677963,0.0,4800.0,0.0,CHARGE,off_peak,0.07,11
2023-02-12 12:00:00,2767.254475628972,2630.5246427703432,2500.0,0.0,0.0,1563.270167141371,0.0,4800.0,0.0,CHARGE,off_peak,0.07,12
2023-02-12 13:00:00,2900.5450049590304,2615.640002501341,2500.0,0.0,0.0,1415.0949975423105,0.0,4800.0,0.0,CHARGE,off_peak,0.07,13
2023-02-12 14:00:00,3073.010011844919,2659.5364576101974,2500.0,0.0,0.0,1286.5264457652784,0.0,4800.0,0.0,CHARGE,off_peak,0.07,14
2023-02-12 15:00:00,3660.723777965514,2739.479086753018,2500.0,0.0,0.0,778.7553087875035,0.0,4800.0,0.0,CHARGE,off_peak,0.07,15
2023-02-12 16:00:00,3261.9037467187945,2697.03721346808,2500.0,0.0,0.0,1135.1334667492856,0.0,4800.0,0.0,CHARGE,off_peak,0.07,16
2023-02-12 17:00:00,1347.4921748853594,2793.200646077537,2500.0,0.0,0.0,3145.708471192178,0.0,4800.0,0.0,CHARGE,off_peak,0.07,17
2023-02-12 18:00:00,0.0,2691.484535286105,2500.0,0.0,0.0,4391.484535286105,0.0,4800.0,0.0,CHARGE,off_peak,0.07,18
2023-02-12 19:00:00,0.0,2706.9426044858974,2500.0,0.0,0.0,4406.942604485897,0.0,4800.0,0.0,CHARGE,off_peak,0.07,19
2023-02-12 20:00:00,0.0,2616.4872160800182,2500.0,0.0,0.0,4316.487216080019,0.0,4800.0,0.0,CHARGE,off_peak,0.07,20
2023-02-12 21:00:00,0.0,2581.0681736771076,2500.0,0.0,0.0,4281.068173677108,0.0,4800.0,0.0,CHARGE,off_peak,0.07,21
