timestamp,hour,P_pv_kw,P_wwtp_kw,P_dc_kw,P_bess_chg_kw,P_bess_dis_kw,P_grid_kw,P_curtail_kw,SOC_kwh,balance_error_kw,T_chip_C,T_coolant_C,load_factor_eff,T_outside_C,api_latency_ms,local_pct,routing,alert_level,reasoning
2023-01-01 00:00:00,0,0.0,2382.22945317372,1750.0,820.7653637016518,0.0,4152.994816875372,0.0,4800.0,0.0,48.99999999969808,35.000000001047745,0.7,7.0,58.03447620810556,0.7,local,0,T_chip=49.0°C | SOC=67% | API=58ms | route=local
2023-01-01 13:00:00,13,4325.863621114198,2462.8686854007437,1750.0,912.9949357134547,0.0,0.0,0.0,6662.079453346584,0.0,64.72740661187993,50.727406604873146,0.7,22.727406610312546,28.163841306838172,0.5,local,0,T_chip=64.7°C | SOC=93% | API=28ms | route=local
2023-01-01 14:00:00,14,4357.442416926522,2459.536062829836,1750.0,947.9063540966863,0.0,0.0,0.0,7586.003776684624,0.0,63.928203230659804,49.92820322894188,0.7,21.92820323027551,29.801170035422658,0.5,local,0,T_chip=63.9°C | SOC=105% | API=30ms | route=local
2023-01-01 15:00:00,15,4624.211459368653,2597.365736344522,1750.0,14.35951914986704,0.0,0.0,1062.4862038742642,7600.0,0.0,62.656854249884304,48.656854248132255,0.7,20.65685424949238,42.23869511072741,0.5,local,0,T_chip=62.7°C | SOC=106% | API=42ms | route=local
2023-01-01 16:00:00,16,4655.577730941462,2612.3747853084915,1750.0,0.0,0.0,0.0,1093.20294563297,7600.0,0.0,61.00000000016606,46.99999999942371,0.7,19.0,36.89860219105722,0.5,local,0,T_chip=61.0°C | SOC=106% | API=37ms | route=local
2023-01-01 17:00:00,17,4602.961442855449,2727.9932078887864,1750.0,0.0,0.0,0.0,924.9682349666618,7600.0,0.0,59.070552361268554,45.070552359264134,0.7,17.07055236082017,54.94305060289653,0.7,local,0,T_chip=59.1°C | SOC=106% | API=55ms | route=local
2023-01-01 18:00:00,18,2945.358549529347,2782.878264439374,1750.0,0.0,1287.5197149100272,0.0,500.0,6279.060516148531,0.0,57.000000000349004,42.999999998788866,0.7,15.000000000000002,38.07720399672792,0.5,local,0,T_chip=57.0°C | SOC=87% | API=38ms | route=local
2023-01-01 19:00:00,19,890.9725118114085,2788.917813863374,1750.0,0.0,2000.0,847.9453020519659,0.0,4227.147106894401,0.0,54.929447639455084,40.92944763822464,0.7,12.929447639179834,32.731302893150236,0.5,local,0,T_chip=54.9°C | SOC=59% | API=33ms | route=local
2023-01-01 20:00:00,20,0.0,2781.962323466166,1750.0,0.0,2000.0,1731.9623234661658,0.0,2175.2336976402717,0.0,53.00000000048102,38.99999999833066,0.7,11.000000000000002,77.6116570873154,0.7,local,0,T_chip=53.0°C | SOC=30% | API=78ms | route=local
2023-01-01 21:00:00,21,0.0,2764.851286045023,1750.0,0.0,1340.4402850899728,2374.41100095505,0.0,800.0,0.0,51.34314575037124,37.34314575098094,0.7,9.343145750507624,46.725502854378455,0.5,local,1,T_chip=51.3°C | SOC=11% | API=47ms | route=local
2023-01-01 22:00:00,22,0.0,2653.7845035671576,1750.0,1000.0,0.0,4603.784503567158,0.0,1774.7,0.0,50.071796770802614,36.071796765983024,0.7,8.071796769724493,51.023252838936,0.7,local,0,T_chip=50.1°C | SOC=25% | API=51ms | route=local
2023-01-01 23:00:00,23,0.0,2512.168044542678,1750.0,1000.0,0.0,4462.168044542678,0.0,2749.4,0.0,49.27259338986356,35.27259338907633,0.7,7.2725933896874535,32.60933345067979,0.5,local,0,T_chip=49.3°C | SOC=38% | API=33ms | route=local
