timestamp,hour,P_pv_kw,P_wwtp_kw,P_dc_kw,P_bess_chg_kw,P_bess_dis_kw,P_grid_kw,P_curtail_kw,SOC_kwh,balance_error_kw,T_chip_C,T_coolant_C,load_factor_eff,T_outside_C,api_latency_ms,local_pct,routing,alert_level,reasoning
2023-01-01 00:00:00,0,0.0,3450.9416380810376,2375.0,820.7653637016518,1346.70700178269,4500.0,0.0,3418.336922352837,0.0,80.96774193481733,65.64516129263569,0.7661290322580643,35.0,58.03447620810556,0.7,api,1,T_chip=81.0°C | SOC=47% | API=58ms | throttle 42% | route=api
2023-01-01 11:00:00,11,4359.428171992179,3801.654848256168,2375.0,0.0,0.0,1017.2266762639892,0.0,2716.279967133625,0.0,80.96774193509992,65.64516129165501,0.7661290322580643,35.0,43.48013118388244,0.5,api,1,T_chip=81.0°C | SOC=38% | API=43ms | throttle 42% | route=api
2023-01-01 12:00:00,12,4406.83751117455,3639.0257415749957,2375.0,0.0,0.0,807.1882304004457,0.0,2716.279967133625,0.0,80.96774193495021,65.64516129217456,0.7661290322580643,35.0,53.76440799982641,0.7,api,1,T_chip=81.0°C | SOC=38% | API=54ms | throttle 42% | route=api
2023-01-01 13:00:00,13,4394.543572698039,3517.2088887179793,2375.0,0.0,0.0,697.6653160199412,0.0,2716.279967133625,0.0,80.96774193445788,65.64516129388309,0.7661290322580643,35.0,28.163841306838172,0.5,api,1,T_chip=81.0°C | SOC=38% | API=28ms | throttle 42% | route=api
2023-01-01 14:00:00,14,4475.116826654344,3565.520230696275,2375.0,0.0,0.0,665.403404041931,0.0,2716.279967133625,0.0,80.96774193436536,65.64516129420421,0.7661290322580643,35.0,29.801170035422658,0.5,api,1,T_chip=81.0°C | SOC=38% | API=30ms | throttle 42% | route=api
2023-01-01 15:00:00,15,4544.14775731783,3623.6961210450804,2375.0,0.0,0.0,654.548363727251,0.0,2716.279967133625,0.0,80.96774193448266,65.64516129379713,0.7661290322580643,35.0,42.23869511072741,0.5,api,1,T_chip=81.0°C | SOC=38% | API=42ms | throttle 42% | route=api
2023-01-01 16:00:00,16,4587.432148950707,3568.8741752886626,2375.0,0.0,0.0,556.4420263379552,0.0,2716.279967133625,0.0,80.96774193433782,65.64516129429974,0.7661290322580643,35.0,36.89860219105722,0.5,api,1,T_chip=81.0°C | SOC=38% | API=37ms | throttle 42% | route=api
2023-01-01 17:00:00,17,4500.798596971301,3804.6108381498266,2375.0,0.0,0.0,878.8122411785262,0.0,2716.279967133625,0.0,80.9677419345063,65.64516129371512,0.7661290322580643,35.0,54.94305060289653,0.7,api,1,T_chip=81.0°C | SOC=38% | API=55ms | throttle 42% | route=api
2023-01-01 18:00:00,18,4321.265212782197,3970.9386822814195,2375.0,0.0,533.6565954186127,691.0168740806103,0.0,2168.7714050954464,0.0,80.96774193431234,65.64516129438817,0.7661290322580643,35.0,38.07720399672792,0.5,api,1,T_chip=81.0°C | SOC=30% | API=38ms | throttle 42% | route=api
2023-01-01 19:00:00,19,2317.3190914185084,4003.484153517138,2375.0,0.0,533.6565954186126,2727.508466680017,0.0,1621.262843057268,0.0,80.96774193452762,65.64516129364108,0.7661290322580643,35.0,32.731302893150236,0.5,api,1,T_chip=81.0°C | SOC=23% | API=33ms | throttle 42% | route=api
2023-01-01 20:00:00,20,471.274744829764,3992.806017132918,2375.0,0.0,596.531272303154,4500.0,0.0,1009.2475847181338,0.0,80.96774193429117,65.64516129446162,0.7661290322580643,35.0,77.6116570873154,0.7,api,1,T_chip=81.0°C | SOC=14% | API=78ms | throttle 42% | route=api
2023-01-01 21:00:00,21,0.0,3935.36832445799,2375.0,0.0,203.953620824765,5306.414703633225,0.0,800.0,0.0,80.96774193456163,65.64516129352306,0.7661290322580643,35.0,46.725502854378455,0.5,api,1,T_chip=81.0°C | SOC=11% | API=47ms | throttle 42% | route=api
2023-01-01 22:00:00,22,0.0,3744.773111533403,2375.0,1000.0,0.0,6319.773111533403,0.0,1774.7,0.0,80.96774193362546,65.64516129677196,0.7661290322580643,35.0,51.023252838936,0.7,api,1,T_chip=81.0°C | SOC=25% | API=51ms | throttle 42% | route=api
2023-01-01 23:00:00,23,0.0,3630.095768299507,2375.0,1000.0,950.0400900000001,5255.055678299506,0.0,1774.7,0.0,80.96774193524178,65.64516129116271,0.7661290322580643,35.0,32.60933345067979,0.5,api,1,T_chip=81.0°C | SOC=25% | API=33ms | throttle 42% | route=api
